iter	RMSE
0	10.79430077
1	10.76901495
2	10.74014971
3	10.7143226
4	10.6875569
5	10.66056388
6	10.63778727
7	10.60751231
8	10.57999427
9	10.55569376
10	10.53435686
11	10.50473088
12	10.48084194
13	10.46666201
14	10.44545366
15	10.41727764
16	10.40309132
17	10.37988761
18	10.35374654
19	10.33007477
20	10.31528866
21	10.28901364
22	10.26582879
23	10.24471311
24	10.22518035
25	10.20347306
26	10.18586408
27	10.16075387
28	10.13850297
29	10.11752547
30	10.09710296
31	10.07963046
32	10.06096203
33	10.04092792
34	10.02679872
35	10.00350149
36	9.991038457
37	9.97237885
38	9.948191301
39	9.93517987
40	9.921586954
41	9.899291426
42	9.894381433
43	9.8705164
44	9.858782208
45	9.840574254
46	9.816896181
47	9.799872183
48	9.780194706
49	9.763750319
50	9.742030407
51	9.72570658
52	9.708672418
53	9.69075484
54	9.677250825
55	9.662373836
56	9.645800592
57	9.636711844
58	9.62619944
59	9.612350004
60	9.601934595
61	9.582325239
62	9.559431923
63	9.542840738
64	9.52535754
65	9.510281317
66	9.493993317
67	9.480340389
68	9.469508389
69	9.451230124
70	9.432968412
71	9.41816485
72	9.399507449
73	9.388678721
74	9.377920769
75	9.364489739
76	9.35111738
77	9.335909894
78	9.323113287
79	9.307950665
80	9.295888713
81	9.278228569
82	9.265533684
83	9.249380006
84	9.231989796
85	9.214985751
86	9.197730633
87	9.186529095
88	9.176938052
89	9.164810085
90	9.152670878
91	9.136791232
92	9.120846613
93	9.109233936
94	9.096675596
95	9.083601646
96	9.0727948
97	9.062768281
98	9.05224187
99	9.042504954
100	9.03387765
101	9.021230619
102	9.008397057
103	8.99547074
104	8.983395548
105	8.972273089
106	8.969051083
107	8.958499114
108	8.944335017
109	8.936344217
110	8.929553732
111	8.918035352
112	8.902608702
113	8.886693626
114	8.871080019
115	8.862348202
116	8.850318598
117	8.834692836
118	8.821523397
119	8.812437087
120	8.805351367
121	8.79195671
122	8.780000428
123	8.77038118
124	8.758966119
125	8.753669948
126	8.747707439
127	8.734498799
128	8.725055769
129	8.710868603
130	8.701762878
131	8.690533088
132	8.682077327
133	8.666797076
134	8.653146515
135	8.646389817
136	8.636404621
137	8.627533768
138	8.614794821
139	8.60374805
140	8.594784232
141	8.581506888
142	8.572829222
143	8.559403152
144	8.551297626
145	8.5411496
146	8.532944585
147	8.52289341
148	8.511901276
149	8.497987782
150	8.487167188
151	8.475372153
152	8.460396576
153	8.450348114
154	8.436542959
155	8.426215723
156	8.417249394
157	8.407792917
158	8.39921549
159	8.394044458
160	8.38409862
161	8.371478242
162	8.360088874
163	8.347468289
164	8.333408657
165	8.324840484
166	8.313068006
167	8.304988484
168	8.2932681
169	8.282228526
170	8.272216178
171	8.265015503
172	8.258466074
173	8.251843384
174	8.242364517
175	8.230546678
176	8.22612583
177	8.217418734
178	8.211847098
179	8.202567599
180	8.193684259
181	8.186958642
182	8.175566966
183	8.166597619
184	8.160035571
185	8.150317837
186	8.142705263
187	8.133421703
188	8.125897529
189	8.118740132
190	8.114079428
191	8.10211578
192	8.094352197
193	8.089790286
194	8.08023899
195	8.073718208
196	8.063914063
197	8.051966875
198	8.04195987
199	8.035062524
200	8.027034756
201	8.015438291
202	8.010539393
203	8.004059301
204	7.994103646
205	7.987026977
206	7.982354397
207	7.976179103
208	7.968128422
209	7.957063921
210	7.951816848
211	7.940023955
212	7.931516131
213	7.921167647
214	7.909579241
215	7.900473308
216	7.896164534
217	7.88494525
218	7.879764047
219	7.86748957
220	7.858618034
221	7.845751662
222	7.840584064
223	7.83586641
224	7.825774842
225	7.819202132
226	7.814660693
227	7.806423053
228	7.79676789
229	7.790191916
230	7.783221978
231	7.776779412
232	7.769391981
233	7.765393641
234	7.760428079
235	7.751962084
236	7.74476625
237	7.734782441
238	7.731451055
239	7.722263181
240	7.714209632
241	7.703855613
242	7.696787827
243	7.691939102
244	7.688702004
245	7.682580011
246	7.6770359
247	7.672464176
248	7.665238935
249	7.655434681
250	7.651988266
251	7.646387712
252	7.636274656
253	7.627476572
254	7.617759549
255	7.61253612
256	7.606226461
257	7.600237036
258	7.59471248
259	7.588968682
260	7.580815889
261	7.571779159
262	7.565662306
263	7.560343491
264	7.554557032
265	7.548099711
266	7.538571972
267	7.529340819
268	7.522894555
269	7.512284115
270	7.509612553
271	7.502794884
272	7.495677216
273	7.486952585
274	7.477573652
275	7.467578603
276	7.458289808
277	7.448644249
278	7.44265262
279	7.436206602
280	7.429888979
281	7.420165278
282	7.413473707
283	7.407454793
284	7.401471617
285	7.394747547
286	7.384759496
287	7.381724657
288	7.376324002
289	7.371187161
290	7.366854114
291	7.364083663
292	7.359609603
293	7.354939606
294	7.3499923
295	7.343993076
296	7.334701348
297	7.328456578
298	7.324735117
299	7.318388057
