iter	Passed	Remaining
0	3	1067
1	7	1112
2	13	1320
3	19	1438
4	24	1464
5	31	1526
6	33	1404
7	37	1381
8	42	1358
9	47	1380
10	52	1388
11	58	1398
12	61	1360
13	65	1338
14	69	1315
15	73	1297
16	77	1283
17	80	1261
18	84	1245
19	87	1228
20	91	1214
21	95	1201
22	98	1187
23	102	1175
24	105	1164
25	109	1153
26	113	1145
27	116	1136
28	120	1128
29	124	1123
30	127	1105
31	131	1101
32	135	1096
33	139	1089
34	143	1084
35	147	1079
36	151	1074
37	154	1068
38	158	1060
39	162	1055
40	166	1052
41	170	1049
42	172	1033
43	176	1027
44	180	1024
45	184	1020
46	189	1018
47	193	1014
48	196	1008
49	200	1001
50	204	996
51	207	991
52	210	979
53	213	970
54	216	965
55	220	960
56	224	955
57	227	951
58	231	946
59	235	940
60	239	936
61	242	930
62	246	926
63	250	921
64	254	920
65	258	916
66	262	912
67	266	908
68	269	903
69	273	899
70	277	895
71	281	891
72	285	887
73	289	883
74	293	880
75	297	875
76	301	871
77	304	867
78	308	864
79	312	860
80	316	854
81	319	850
82	323	846
83	327	842
84	331	838
85	334	832
86	338	828
87	341	823
88	345	820
89	349	815
90	353	811
91	356	806
92	360	802
93	364	798
94	368	794
95	371	790
96	375	786
97	379	782
98	383	779
99	387	775
100	391	770
101	395	766
102	398	762
103	402	758
104	406	755
105	410	751
106	412	743
107	416	739
108	419	735
109	423	731
110	426	727
111	430	723
112	434	719
113	438	715
114	442	711
115	445	707
116	449	703
117	455	702
118	459	698
119	463	694
120	467	691
121	471	687
122	475	683
123	478	679
124	482	675
125	486	672
126	489	666
127	493	662
128	496	658
129	500	654
130	504	650
131	507	646
132	511	642
133	515	638
134	519	634
135	523	630
136	526	626
137	530	622
138	534	618
139	538	614
140	542	611
141	545	607
142	549	603
143	553	599
144	557	595
145	560	591
146	564	587
147	568	583
148	572	580
149	576	576
150	579	572
151	583	568
152	587	564
153	591	560
154	595	557
155	599	553
156	603	549
157	607	545
158	611	542
159	615	538
160	619	534
161	622	530
162	626	526
163	630	522
164	634	519
165	638	515
166	641	511
167	645	506
168	649	503
169	653	499
170	656	495
171	660	491
172	664	488
173	668	484
174	672	480
175	676	476
176	680	472
177	683	468
178	687	464
179	691	461
180	699	459
181	703	455
182	706	451
183	710	447
184	715	444
185	719	440
186	723	437
187	728	433
188	732	430
189	736	426
190	740	422
191	744	418
192	748	414
193	751	410
194	755	406
195	759	402
196	763	399
197	767	395
198	771	391
199	775	387
200	780	384
201	784	380
202	788	376
203	792	372
204	796	369
205	800	365
206	804	361
207	808	357
208	812	353
209	815	349
210	819	345
211	823	341
212	827	337
213	831	333
214	834	330
215	838	326
216	842	322
217	846	318
218	850	314
219	854	310
220	858	306
221	862	303
222	866	299
223	870	295
224	874	291
225	879	287
226	883	283
227	887	280
228	891	276
229	894	272
230	898	268
231	902	264
232	906	260
233	910	256
234	913	252
235	917	248
236	921	244
237	925	241
238	929	237
239	933	233
240	937	229
241	941	225
242	944	221
243	949	217
244	953	214
245	957	210
246	961	206
247	965	202
248	968	198
249	973	194
250	975	190
251	979	186
252	983	182
253	986	178
254	991	174
255	995	171
256	998	167
257	1003	163
258	1007	159
259	1010	155
260	1014	151
261	1019	147
262	1023	143
263	1027	140
264	1031	136
265	1035	132
266	1038	128
267	1042	124
268	1046	120
269	1050	116
270	1054	112
271	1058	108
272	1062	105
273	1066	101
274	1070	97
275	1074	93
276	1078	89
277	1082	85
278	1086	81
279	1090	77
280	1093	73
281	1097	70
282	1101	66
283	1105	62
284	1109	58
285	1113	54
286	1117	50
287	1120	46
288	1124	42
289	1127	38
290	1131	34
291	1135	31
292	1139	27
293	1143	23
294	1147	19
295	1151	15
296	1155	11
297	1159	7
298	1163	3
299	1167	0
